Brittany Reeves,Kristin Brown,Win,Loss
Lianna Teeter,Valerie Keys,Win,Loss
Lianna Teeter,Kristin Brown,Win,Loss
Valerie Keys,Kristin Brown,Win,Loss
Brittany Reeves,Valerie Keys,Win,Loss
Brittany Reeves,Lianna Teeter,Win,Loss
Lianna Teeter,Miranda Freeman,Win,Loss
Kristin Brown,Miranda Freeman,Win,Loss
Valerie Keys,Miranda Freeman,Win,Loss
Brittany Reeves,Miranda Freeman,Win,Loss
Brittany Reeves,Kristin Brown,Win,Loss
Lianna Teeter,Valerie Keys,Win,Loss
Brittany Reeves,Lianna Teeter,Win,Loss
Valerie Keys,Kristin Brown,Win,Loss
